file_id,chunk_id,start_sec,end_sec,start_sample,end_sample,chunk_len_samples,is_padded,file_total_samples
288,0,0.0,3.0,0,48000,48000,0,556800
288,1,1.5,4.5,24000,72000,48000,0,556800
288,2,3.0,6.0,48000,96000,48000,0,556800
288,3,4.5,7.5,72000,120000,48000,0,556800
288,4,6.0,9.0,96000,144000,48000,0,556800
288,5,7.5,10.5,120000,168000,48000,0,556800
288,6,9.0,12.0,144000,192000,48000,0,556800
288,7,10.5,13.5,168000,216000,48000,0,556800
288,8,12.0,15.0,192000,240000,48000,0,556800
288,9,13.5,16.5,216000,264000,48000,0,556800
288,10,15.0,18.0,240000,288000,48000,0,556800
288,11,16.5,19.5,264000,312000,48000,0,556800
288,12,18.0,21.0,288000,336000,48000,0,556800
288,13,19.5,22.5,312000,360000,48000,0,556800
288,14,21.0,24.0,336000,384000,48000,0,556800
288,15,22.5,25.5,360000,408000,48000,0,556800
288,16,24.0,27.0,384000,432000,48000,0,556800
288,17,25.5,28.5,408000,456000,48000,0,556800
288,18,27.0,30.0,432000,480000,48000,0,556800
288,19,28.5,31.5,456000,504000,48000,0,556800
288,20,30.0,33.0,480000,528000,48000,0,556800
288,21,31.5,34.5,504000,552000,48000,0,556800
288,22,33.0,36.0,528000,576000,48000,1,556800
288,23,34.5,37.5,552000,600000,48000,1,556800
294,0,0.0,3.0,0,48000,48000,0,546816
294,1,1.5,4.5,24000,72000,48000,0,546816
294,2,3.0,6.0,48000,96000,48000,0,546816
294,3,4.5,7.5,72000,120000,48000,0,546816
294,4,6.0,9.0,96000,144000,48000,0,546816
294,5,7.5,10.5,120000,168000,48000,0,546816
294,6,9.0,12.0,144000,192000,48000,0,546816
294,7,10.5,13.5,168000,216000,48000,0,546816
294,8,12.0,15.0,192000,240000,48000,0,546816
294,9,13.5,16.5,216000,264000,48000,0,546816
294,10,15.0,18.0,240000,288000,48000,0,546816
294,11,16.5,19.5,264000,312000,48000,0,546816
294,12,18.0,21.0,288000,336000,48000,0,546816
294,13,19.5,22.5,312000,360000,48000,0,546816
294,14,21.0,24.0,336000,384000,48000,0,546816
294,15,22.5,25.5,360000,408000,48000,0,546816
294,16,24.0,27.0,384000,432000,48000,0,546816
294,17,25.5,28.5,408000,456000,48000,0,546816
294,18,27.0,30.0,432000,480000,48000,0,546816
294,19,28.5,31.5,456000,504000,48000,0,546816
294,20,30.0,33.0,480000,528000,48000,0,546816
294,21,31.5,34.5,504000,552000,48000,1,546816
294,22,33.0,36.0,528000,576000,48000,1,546816
298,0,0.0,3.0,0,48000,48000,0,516800
298,1,1.5,4.5,24000,72000,48000,0,516800
298,2,3.0,6.0,48000,96000,48000,0,516800
298,3,4.5,7.5,72000,120000,48000,0,516800
298,4,6.0,9.0,96000,144000,48000,0,516800
298,5,7.5,10.5,120000,168000,48000,0,516800
298,6,9.0,12.0,144000,192000,48000,0,516800
298,7,10.5,13.5,168000,216000,48000,0,516800
298,8,12.0,15.0,192000,240000,48000,0,516800
298,9,13.5,16.5,216000,264000,48000,0,516800
298,10,15.0,18.0,240000,288000,48000,0,516800
298,11,16.5,19.5,264000,312000,48000,0,516800
298,12,18.0,21.0,288000,336000,48000,0,516800
298,13,19.5,22.5,312000,360000,48000,0,516800
298,14,21.0,24.0,336000,384000,48000,0,516800
298,15,22.5,25.5,360000,408000,48000,0,516800
298,16,24.0,27.0,384000,432000,48000,0,516800
298,17,25.5,28.5,408000,456000,48000,0,516800
298,18,27.0,30.0,432000,480000,48000,0,516800
298,19,28.5,31.5,456000,504000,48000,0,516800
298,20,30.0,33.0,480000,528000,48000,1,516800
298,21,31.5,34.5,504000,552000,48000,1,516800
299,0,0.0,3.0,0,48000,48000,0,785056
299,1,1.5,4.5,24000,72000,48000,0,785056
299,2,3.0,6.0,48000,96000,48000,0,785056
299,3,4.5,7.5,72000,120000,48000,0,785056
299,4,6.0,9.0,96000,144000,48000,0,785056
299,5,7.5,10.5,120000,168000,48000,0,785056
299,6,9.0,12.0,144000,192000,48000,0,785056
299,7,10.5,13.5,168000,216000,48000,0,785056
299,8,12.0,15.0,192000,240000,48000,0,785056
299,9,13.5,16.5,216000,264000,48000,0,785056
299,10,15.0,18.0,240000,288000,48000,0,785056
299,11,16.5,19.5,264000,312000,48000,0,785056
299,12,18.0,21.0,288000,336000,48000,0,785056
299,13,19.5,22.5,312000,360000,48000,0,785056
299,14,21.0,24.0,336000,384000,48000,0,785056
299,15,22.5,25.5,360000,408000,48000,0,785056
299,16,24.0,27.0,384000,432000,48000,0,785056
299,17,25.5,28.5,408000,456000,48000,0,785056
299,18,27.0,30.0,432000,480000,48000,0,785056
299,19,28.5,31.5,456000,504000,48000,0,785056
299,20,30.0,33.0,480000,528000,48000,0,785056
299,21,31.5,34.5,504000,552000,48000,0,785056
299,22,33.0,36.0,528000,576000,48000,0,785056
299,23,34.5,37.5,552000,600000,48000,0,785056
299,24,36.0,39.0,576000,624000,48000,0,785056
299,25,37.5,40.5,600000,648000,48000,0,785056
299,26,39.0,42.0,624000,672000,48000,0,785056
299,27,40.5,43.5,648000,696000,48000,0,785056
299,28,42.0,45.0,672000,720000,48000,0,785056
299,29,43.5,46.5,696000,744000,48000,0,785056
299,30,45.0,48.0,720000,768000,48000,0,785056
299,31,46.5,49.5,744000,792000,48000,1,785056
299,32,48.0,51.0,768000,816000,48000,1,785056
309,0,0.0,3.0,0,48000,48000,0,372053
309,1,1.5,4.5,24000,72000,48000,0,372053
309,2,3.0,6.0,48000,96000,48000,0,372053
309,3,4.5,7.5,72000,120000,48000,0,372053
309,4,6.0,9.0,96000,144000,48000,0,372053
309,5,7.5,10.5,120000,168000,48000,0,372053
309,6,9.0,12.0,144000,192000,48000,0,372053
309,7,10.5,13.5,168000,216000,48000,0,372053
309,8,12.0,15.0,192000,240000,48000,0,372053
309,9,13.5,16.5,216000,264000,48000,0,372053
309,10,15.0,18.0,240000,288000,48000,0,372053
309,11,16.5,19.5,264000,312000,48000,0,372053
309,12,18.0,21.0,288000,336000,48000,0,372053
309,13,19.5,22.5,312000,360000,48000,0,372053
309,14,21.0,24.0,336000,384000,48000,1,372053
309,15,22.5,25.5,360000,408000,48000,1,372053
311,0,0.0,3.0,0,48000,48000,0,1691200
311,1,1.5,4.5,24000,72000,48000,0,1691200
311,2,3.0,6.0,48000,96000,48000,0,1691200
311,3,4.5,7.5,72000,120000,48000,0,1691200
311,4,6.0,9.0,96000,144000,48000,0,1691200
311,5,7.5,10.5,120000,168000,48000,0,1691200
311,6,9.0,12.0,144000,192000,48000,0,1691200
311,7,10.5,13.5,168000,216000,48000,0,1691200
311,8,12.0,15.0,192000,240000,48000,0,1691200
311,9,13.5,16.5,216000,264000,48000,0,1691200
311,10,15.0,18.0,240000,288000,48000,0,1691200
311,11,16.5,19.5,264000,312000,48000,0,1691200
311,12,18.0,21.0,288000,336000,48000,0,1691200
311,13,19.5,22.5,312000,360000,48000,0,1691200
311,14,21.0,24.0,336000,384000,48000,0,1691200
311,15,22.5,25.5,360000,408000,48000,0,1691200
311,16,24.0,27.0,384000,432000,48000,0,1691200
311,17,25.5,28.5,408000,456000,48000,0,1691200
311,18,27.0,30.0,432000,480000,48000,0,1691200
311,19,28.5,31.5,456000,504000,48000,0,1691200
311,20,30.0,33.0,480000,528000,48000,0,1691200
311,21,31.5,34.5,504000,552000,48000,0,1691200
311,22,33.0,36.0,528000,576000,48000,0,1691200
311,23,34.5,37.5,552000,600000,48000,0,1691200
311,24,36.0,39.0,576000,624000,48000,0,1691200
311,25,37.5,40.5,600000,648000,48000,0,1691200
311,26,39.0,42.0,624000,672000,48000,0,1691200
311,27,40.5,43.5,648000,696000,48000,0,1691200
311,28,42.0,45.0,672000,720000,48000,0,1691200
311,29,43.5,46.5,696000,744000,48000,0,1691200
